features_id,architectureType,cooling,coolingType,exteriorType,fireplace,floorCount,heating,heatingType,roofType,roomCount,fireplaceType,foundationType,unitCount,garage,garageType,garageSpaces,pool,poolType,viewType,id,bathrooms,bedrooms,squareFootage
0,,,,,,,,,,,,,,,,,,,,"11940-County-Rd,-230,-Somerville,-TX-77879",,,
1,,,,,,,,,,,,,,,,,,,,"5207-Fleet-Ave,-Apt-2,-Cleveland,-OH-44105",,,
2,,,,,,,,,,,,,,,,,,,,"17425-Tyler-St-NE,-Ham-Lake,-MN-55304",2.0,3.0,1655.0
3,Condo / Apartment,True,Central,Stucco,True,1.0,True,Forced Air,Tile,5.0,,,,,,,,,,"6551-Annie-Oakley-Dr,-Apt-426,-Henderson,-NV-89014",2.0,3.0,1239.0
4,,,,,,,,,,,,,,,,,,,,"3924-Plumosa-Dr,-Saint-James-City,-FL-33956",1.5,2.0,1291.0
5,,,,,,,,,,,,,,,,,,,,"9400-Fredericksburg-Rd,-Apt-2802,-San-Antonio,-TX-78240",,,
6,,True,Commercial,Brick,True,1.0,True,Forced Air,Shingle,8.0,Prefab,Wood,1.0,,,,,,,"5798-Lake-Cyrus-Blvd,-Hoover,-AL-35244",3.5,4.0,2473.0
7,,,,,,,,,,,,,,,,,,,,"321-Walnut-St,-Madison,-WI-53726",1.0,2.0,
8,,,,,,,,,,,,,,,,,,,,"4649-S-Hills-Dr,-Folsom,-CA-95630",,,
9,,,,,,,,,,,,,,,,,,,,"2375-Westwood-Blvd,-Los-Angeles,-CA-90064",,,
10,Split Level,True,Central,Log,True,1.0,True,Central,Asphalt,5.0,,Masonry,1.0,True,Garage,,,,,"2329-Dawson-Forest-Rd-E,-Dawsonville,-GA-30534",2.0,3.0,1778.0
11,,,,,,,,,,,,,,,,,,,,"PO-Box-1453,-Groves,-TX-77619",,,
12,Conventional,True,Commercial,Brick,True,2.0,True,Heat Pump,Asphalt,5.0,,Slab / Mat / Raft,,,,,,,,"370-Hanover-Arms-Ct,-Winston-Salem,-NC-27104",2.5,2.0,1295.0
13,,,,,,,,,,,,,,,,,,,,"5901-W-Behrend-Dr,-Apt-1132,-Glendale,-AZ-85308",,,
14,,True,Commercial,Composition,,1.0,True,Forced Air,Composition Shingle,7.0,,Slab / Mat / Raft,1.0,True,Attached,,,,,"4833-Sines-Ln,-Port-Charlotte,-FL-33981",2.0,3.0,2001.0
15,Split Level,True,Evaporative,,True,2.0,True,Forced Air,,,,,1.0,True,Detached,,,,,"4140-Benton-St,-Denver,-CO-80212",2.0,3.0,1600.0
