propertyTaxes_id,id,2021.total,2022.total,2020.total,2023.total,2018.total,2019.total,2017.total,2016.total
0,"11940-County-Rd,-230,-Somerville,-TX-77879",,,,,,,,
1,"5207-Fleet-Ave,-Apt-2,-Cleveland,-OH-44105",,,,,,,,
2,"17425-Tyler-St-NE,-Ham-Lake,-MN-55304",,,,,,,,
3,"6551-Annie-Oakley-Dr,-Apt-426,-Henderson,-NV-89014",758.0,,,,,,,
4,"3924-Plumosa-Dr,-Saint-James-City,-FL-33956",,,,,,,,
5,"9400-Fredericksburg-Rd,-Apt-2802,-San-Antonio,-TX-78240",,,,,,,,
6,"5798-Lake-Cyrus-Blvd,-Hoover,-AL-35244",,4075.0,,,,,,
7,"321-Walnut-St,-Madison,-WI-53726",,,,,,,,
8,"4649-S-Hills-Dr,-Folsom,-CA-95630",,,5937.0,,,,,
9,"2375-Westwood-Blvd,-Los-Angeles,-CA-90064",,,,,,,,
10,"2329-Dawson-Forest-Rd-E,-Dawsonville,-GA-30534",1959.0,,21.0,,,,,
11,"PO-Box-1453,-Groves,-TX-77619",,,,,,,,
12,"370-Hanover-Arms-Ct,-Winston-Salem,-NC-27104",,2014.0,1903.0,,,,,
13,"5901-W-Behrend-Dr,-Apt-1132,-Glendale,-AZ-85308",,,,,,,,
14,"4833-Sines-Ln,-Port-Charlotte,-FL-33981",,2433.0,,2196.0,,,,
15,"4140-Benton-St,-Denver,-CO-80212",,3262.0,2438.0,,,,,
16,"2413-Rocky-Ridge-Rd,-Vestavia,-AL-35243",,3084.0,,,,,,
17,"5953-Triple-Crown-Dr,-Medina,-OH-44256",,5111.0,,,,,,
18,"8204-Rambling-Rose-Ln,-Laurel,-MD-20724",,5037.0,,,4404.0,,,
19,"53960-Lawson-Creek-Dr,-Shelby-Township,-MI-48316",,,,,,,,
20,"1154-N-Sycamore-Ave,-Apt-4,-Los-Angeles,-CA-90038",,,7406.0,7787.0,,,,
21,"2930-Brougham-Ave,-Jacksonville,-FL-32246",,3116.0,,242.0,,,,
22,"3630-Muirfield-Dr,-Titusville,-FL-32780",,891.0,,,,,,
23,"2100-St-Thomas-St,-Unit-207,-New-Orleans,-LA-70130",,,,,,,,
24,"12154-Marilla-Dr,-Saratoga,-CA-95070",,3521.0,,,,,,
25,"155-E-Rodeo-Rd,-Lot-66,-Casa-Grande,-AZ-85122",,,,,,,,
26,"2347-Walden-Dr,-Augusta,-GA-30904",,445.0,,,,,,
27,"154-Market-St,-Portsmouth,-NH-03801",,,,,,,,
28,"3235-W-Woodlawn-Ave,-San-Antonio,-TX-78228",,2710.0,,,,2530.0,,
