id,location_id,features_id,sales_id,owner_id,propertyTaxes_id,tax_assessment_id,yearBuilt,assessorID,legalDescription,subdivision,zoning,lotSize
"11940-County-Rd,-230,-Somerville,-TX-77879",0,0,0,0,0,0,,,,,,
"5207-Fleet-Ave,-Apt-2,-Cleveland,-OH-44105",1,1,1,1,1,1,,,,,,
"17425-Tyler-St-NE,-Ham-Lake,-MN-55304",2,2,2,2,2,2,2022.0,,,,,43560.0
"6551-Annie-Oakley-Dr,-Apt-426,-Henderson,-NV-89014",3,3,3,3,3,3,1988.0,178-06-514-049,WOOD CREEK VILLAS CONDO PLAT BOOK 140 PAGE 7 UNIT 426 BLDG 4,WOOD CREEK VILLAS CONDO,,
"3924-Plumosa-Dr,-Saint-James-City,-FL-33956",4,4,4,4,4,4,,,,,,
"9400-Fredericksburg-Rd,-Apt-2802,-San-Antonio,-TX-78240",5,5,5,5,5,5,,,,,,
"5798-Lake-Cyrus-Blvd,-Hoover,-AL-35244",6,6,6,6,6,6,2001.0,39-00-30-4-000-001.056,LOT 706 1ST ADD LAKE CYRUS SEVENTH SEC GIVIANPOUR ADD TO HOOVER 34/40,LAKE CYRUS 7 SECTOR,PR1,
"321-Walnut-St,-Madison,-WI-53726",7,7,7,7,7,7,1937.0,,,,,
"4649-S-Hills-Dr,-Folsom,-CA-95630",8,8,8,8,8,8,,072-3710-048-0000,"MANGINI RANCH VILLAGE 7, LOT 773, UNIT:: 0, BLOCK:: 0, BLDG:: 0",,AG80,
"2375-Westwood-Blvd,-Los-Angeles,-CA-90064",9,9,9,9,9,9,,,,,,
"2329-Dawson-Forest-Rd-E,-Dawsonville,-GA-30534",10,10,10,10,10,10,2004.0,106 361,LL 366 LD 13S,,,43560.0
"PO-Box-1453,-Groves,-TX-77619",11,11,11,11,11,11,,,,,,
"370-Hanover-Arms-Ct,-Winston-Salem,-NC-27104",12,12,12,12,12,12,1970.0,6815-94-5927.00,LO370 BL6517,THE HANOVER ARMS CONDOMINIUMS,RM18,436.0
"5901-W-Behrend-Dr,-Apt-1132,-Glendale,-AZ-85308",13,13,13,13,13,13,,,,,,
"4833-Sines-Ln,-Port-Charlotte,-FL-33981",14,14,14,14,14,14,2006.0,40-21-32-155-011,PCH 053 1779 0015 PORT CHARLOTTE SEC53 BLK1779 LTS 15 & 16 406/903 1049/1107 1681/473 1681/474 2423/207 RES2552/17,PORT CHARLOTTE,RSF3.5 SINGLE FAM. RES.,21740.0
"4140-Benton-St,-Denver,-CO-80212",15,15,15,15,15,15,1909.0,39-244-14-008,SECTION 24 TOWNSHIP 03 RANGE 69 QTR SE SUBDIVISIONCD 076200 SUBDIVISIONNAME BERKELEY IN JEFFERSON BLOCK 003 LOT 0015 SIZE: 33,BERKELEY IN JEFFERSON,,6665.0
"2413-Rocky-Ridge-Rd,-Vestavia,-AL-35243",16,16,16,16,16,16,2021.0,40-00-05-2-007-004.000,LOT 6 BUCKHEAD 1ST SECTOR,BUCKHEAD 1ST SECTOR,E2,37500.0
"5953-Triple-Crown-Dr,-Medina,-OH-44256",17,17,17,17,17,17,2005.0,030-11A-07-012,LOT 1 WH LEXINGTON RIDGE SUB PH 1 .4325 AC,WH LEXINGTON RIDGE SUB,,18731.0
"8204-Rambling-Rose-Ln,-Laurel,-MD-20724",18,18,18,18,18,18,1997.0,04-675-90083207,LT 17 PAR 9 PH 2 8204 RAMBLING ROSE LN RUSSETT,RUSSETT,R5,7500.0
"53960-Lawson-Creek-Dr,-Shelby-Township,-MI-48316",19,19,19,19,19,19,,,,,,
"1154-N-Sycamore-Ave,-Apt-4,-Los-Angeles,-CA-90038",20,20,20,20,20,20,1991.0,5532-016-037,TR=48598 LOT 1 CONDO UNIT 4,SYCAMORE TOWNHOMES,LAR3,13149.0
"2930-Brougham-Ave,-Jacksonville,-FL-32246",21,21,21,21,21,21,2006.0,166876-0000,"22-060 35-2S-28E GOLDEN GLADES UNIT NO 3A N 75FT LOTS 5,6 BLK 23 U/W",GOLDEN GLADES UNIT 03A,RLD-60,18750.0
"3630-Muirfield-Dr,-Titusville,-FL-32780",22,22,22,22,22,22,1987.0,22-35-16-85-00000.0-0001.00,"FOREST AT LA CITA, THE LOT 1 & PT OF TRACT A AS DESC IN ORB 2976 PG 3432",FOREST AT LA CITA,R1B/PUD,3920.0
"2100-St-Thomas-St,-Unit-207,-New-Orleans,-LA-70130",23,23,23,23,23,23,,,,,,
"12154-Marilla-Dr,-Saratoga,-CA-95070",24,24,24,24,24,24,1970.0,386-45-017,TR 4675 LOT 58,SARATOGA ESTATES,R110,10188.0
"155-E-Rodeo-Rd,-Lot-66,-Casa-Grande,-AZ-85122",25,25,25,25,25,25,,,,,,
