tax_assessment_id,id,2022.value,2022.land,2022.improvements,2021.value,2021.land,2021.improvements,2020.value,2020.land,2020.improvements,2023.value,2023.land,2023.improvements,2019.value,2019.land,2019.improvements,2018.value,2018.land,2018.improvements,2017.value,2017.land,2017.improvements,2024.value
0,"11940-County-Rd,-230,-Somerville,-TX-77879",,,,,,,,,,,,,,,,,,,,,,
1,"5207-Fleet-Ave,-Apt-2,-Cleveland,-OH-44105",,,,,,,,,,,,,,,,,,,,,,
2,"17425-Tyler-St-NE,-Ham-Lake,-MN-55304",,,,,,,,,,,,,,,,,,,,,,
3,"6551-Annie-Oakley-Dr,-Apt-426,-Henderson,-NV-89014",26927.0,8750.0,18177.0,,,,,,,,,,,,,,,,,,,
4,"3924-Plumosa-Dr,-Saint-James-City,-FL-33956",,,,,,,,,,,,,,,,,,,,,,
5,"9400-Fredericksburg-Rd,-Apt-2802,-San-Antonio,-TX-78240",,,,,,,,,,,,,,,,,,,,,,
6,"5798-Lake-Cyrus-Blvd,-Hoover,-AL-35244",56860.0,6100.0,50760.0,,,,,,,,,,,,,,,,,,,
7,"321-Walnut-St,-Madison,-WI-53726",,,,,,,,,,,,,,,,,,,,,,
8,"4649-S-Hills-Dr,-Folsom,-CA-95630",,,,186916.0,186916.0,,,,,,,,,,,,,,,,,
9,"2375-Westwood-Blvd,-Los-Angeles,-CA-90064",,,,,,,,,,,,,,,,,,,,,,
10,"2329-Dawson-Forest-Rd-E,-Dawsonville,-GA-30534",,,,82800.0,8960.0,73840.0,81720.0,9560.0,72160.0,,,,,,,,,,,,,
11,"PO-Box-1453,-Groves,-TX-77619",,,,,,,,,,,,,,,,,,,,,,
12,"370-Hanover-Arms-Ct,-Winston-Salem,-NC-27104",153300.0,33500.0,119800.0,,,,137800.0,33500.0,104300.0,,,,,,,,,,,,,
13,"5901-W-Behrend-Dr,-Apt-1132,-Glendale,-AZ-85308",,,,,,,,,,,,,,,,,,,,,,
14,"4833-Sines-Ln,-Port-Charlotte,-FL-33981",169962.0,,,,,,,,,151818.0,,,,,,,,,,,,
15,"4140-Benton-St,-Denver,-CO-80212",36173.0,15669.0,20504.0,,,,27574.0,16434.0,11140.0,,,,,,,,,,,,,
16,"2413-Rocky-Ridge-Rd,-Vestavia,-AL-35243",62610.0,13700.0,48910.0,,,,,,,69080.0,13700.0,55380.0,,,,,,,,,,
17,"5953-Triple-Crown-Dr,-Medina,-OH-44256",107900.0,26460.0,81440.0,,,,,,,,,,,,,,,,,,,
18,"8204-Rambling-Rose-Ln,-Laurel,-MD-20724",482000.0,150100.0,331900.0,,,,450200.0,,,,,,,,,,,,,,,
